name	rfrac
2019.64c	0.8
2019.41m	0.8
2019.k78	0.8
2019.qkv	0.8
2019.axb	0.8
2019.fn3	0.8
2019.o0z	0.7
2019.3np	0.7
2019.bcu	0.7
2019.8b0	0.7
2019.u98	0.7
2019.z5h	0.7
2019.u45	0.7
2019.v3z	0.7
2019.m1e	0.7
2019.ln7	0.7
2019.3bq	0.7
2019.jcv	0.7
2019.8mo	0.7
2019.le8	0.7
2019.u39	0.7
2019.8cd	0.7
2019.x5e	0.7
2019.fis	0.7
2019.xf3	0.7
2019.z6k	0.7
2019.i7g	0.7
2019.xpl	0.8
2019.354	0.6
2019.ebs	0.6
2019.wwc	0.6
2019.lh8	0.6
2019.9zk	0.6
2019.m31	0.6
2019.vjm	0.6
2019.kma	0.6
2019.xyq	0.6
2019.7u3	0.6
2019.1p9	0.6
2019.wjb	0.6
2019.98g	0.6
2019.1q3	0.6
2019.aur	0.6
2019.1ue	0.6
2019.r6k	0.6
2019.01q	0.6
2019.0qn	0.6
2019.8fr	0.6
2019.0ak	0.6
2019.hpy	0.8
2019.ikl	0.8
2019.f3y	0.8
2019.vcs	0.8
2019.mt2	0.8
2019.egi	0.8
2019.61m	0.8
2019.pkm	0.8
2019.vh7	0.8
2019.ibj	0.8
2019.6wa	0.8
2019.12v	0.8
2019.hna	0.8
2019.3js	0.8
2019.rxj	0.8
2019.7q4	0.8
2019.05x	0.8
2019.xum	0.8
2019.kjv	0.8
2019.n5k	0.8
2019.hn1	0.8
2019.xd2	0.8
2019.kq9	0.8
2019.lft	0.7
2019.3gg	0.7
2019.4du	0.7
2019.qbk	0.7
2019.sgf	0.7
2019.1kx	0.7
2019.5al	0.7
2019.k91	0.7
2019.k7l	0.7
2019.3i0	0.7
2019.ih4	0.7
2019.hcw	0.7
2019.1fi	0.7
2019.qrn	0.7
2019.hj1	0.7
2019.iz9	0.7
2019.669	0.7
2019.ipw	0.7
2019.aeq	0.7
2019.xk2	0.8
2019.xgj	0.6
2019.g39	0.6
2019.i2w	0.6
2019.a5y	0.6
2019.2zz	0.6
2019.0vo	0.6
2019.qn5	0.6
2019.5d6	0.6
2019.yyq	0.6
2019.7xt	0.6
2019.5as	0.6
2019.9fk	0.6
2019.dck	0.6
2019.8r4	0.6
2019.dhp	0.6
2019.tgn	0.6
2019.ax3	0.6
2019.9df	0.6
2019.yxb	0.6
2019.iq9	0.8
2019.yzh	0.8
2019.joe	0.8
2019.ktl	0.8
2019.b7y	0.8
2019.vio	0.8
2019.6sy	0.8
2019.4tj	0.8
2019.n33	0.8
2019.8de	0.8
2019.5ba	0.8
2019.264	0.8
2019.ahg	0.8
2019.o3t	0.8
2019.xs9	0.8
2019.w9p	0.8
2019.vp9	0.8
2019.djw	0.8
2019.dti	0.8
2019.phf	0.7
2019.kt4	0.7
2019.swl	0.7
2019.c8i	0.7
2019.ttq	0.7
2019.m9p	0.7
2019.azu	0.7
2019.clz	0.7
2019.ocx	0.7
2019.zso	0.7
2019.qy1	0.7
2019.oep	0.7
2019.dlf	0.7
2019.8tm	0.7
2019.i7p	0.7
2019.v1l	0.7
2019.yhj	0.7
2019.bkj	0.7
2019.ga1	0.7
2019.i0i	0.7
2019.vw6	0.7
2019.7m7	0.7
2019.7ib	0.8
2019.c16	0.6
2019.b74	0.6
2019.i1c	0.6
2019.cjy	0.6
2019.u37	0.6
2019.abn	0.6
2019.u8p	0.6
2019.a4o	0.6
2019.f7w	0.6
2019.6cy	0.6
2019.js2	0.6
2019.wkn	0.6
2019.j51	0.6
2019.c9i	0.6
2019.m1g	0.6
2019.794	0.6
2019.7kg	0.6
2019.d6m	0.6
2019.sqj	0.6
2019.akx	0.6
2019.lge	0.6
2019.1za	0.6
2019.t6e	0.8
2019.55n	0.8
2019.nhl	0.8
2019.rko	0.8
2019.tnd	0.8
2019.sp3	0.8
2019.bl8	0.8
2019.i31	0.8
2019.bvx	0.8
2019.gk7	0.8
2019.6ac	0.8
2019.yw5	0.8
2019.xka	0.8
2019.uzg	0.8
2019.9bn	0.8
2019.1d1	0.8
2019.4si	0.8
2019.kop	0.8
2019.9k3	0.8
2019.vnn	0.8
2019.ltv	0.8
2019.vsq	0.8
2019.z0t	0.8
2019.qnn	0.7
2019.p6y	0.7
2019.f59	0.7
2019.bzh	0.7
2019.6yz	0.7
2019.bjz	0.7
2019.nlp	0.7
2019.63h	0.7
2019.20n	0.7
2019.6ji	0.7
2019.lh9	0.7
2019.pl7	0.7
2019.1qa	0.7
2019.3u7	0.7
2019.z1g	0.7
2019.89o	0.7
2019.018	0.7
2019.2in	0.7
2019.qdk	0.7
2019.kik	0.7
2019.04r	0.7
2019.n55	0.7
2019.hg0	0.8
2019.kqz	0.6
2019.6b9	0.6
2019.jrr	0.6
2019.gjr	0.6
2019.968	0.6
2019.643	0.6
2019.mui	0.6
2019.u72	0.6
2019.46r	0.6
2019.zf8	0.6
2019.3z0	0.6
2019.ctg	0.6
2019.apw	0.6
2019.1eh	0.6
2019.ebp	0.6
2019.3zd	0.6
2019.tdb	0.6
2019.op3	0.6
2019.96w	0.6
2019.nio	0.6
2019.gob	0.6
2019.7fw	0.8
2019.tz2	0.8
2019.p66	0.8
2019.sie	0.8
2019.g7d	0.8
2019.hhq	0.8
2019.gg7	0.8
2019.htu	0.8
2019.5v7	0.8
2019.hf9	0.8
2019.61e	0.8
2019.028	0.8
2019.qb6	0.8
2019.v1h	0.8
2019.3q6	0.8
2019.byf	0.8
2019.hu9	0.8
2019.zdx	0.8
2019.bs7	0.8
2019.yfr	0.8
2019.mx1	0.8
2019.x60	0.8
2019.zpx	0.7
2019.t6o	0.7
2019.9ky	0.7
2019.wg4	0.7
2019.jhx	0.7
2019.2s1	0.7
2019.dt5	0.7
2019.cl8	0.7
2019.oqx	0.7
2019.6v1	0.7
2019.bvf	0.7
2019.adh	0.7
2019.d4a	0.7
2019.nce	0.7
2019.685	0.7
2019.18e	0.7
2019.xjh	0.7
2019.wk4	0.7
2019.2jd	0.7
2019.uda	0.7
2019.mbq	0.7
2019.ei6	0.8
2019.j9p	0.6
2019.6y3	0.6
2019.ngw	0.6
2019.jke	0.6
2019.2fz	0.6
2019.d72	0.6
2019.ycm	0.6
2019.5qb	0.6
2019.7yd	0.6
2019.v02	0.6
2019.24x	0.6
2019.bi5	0.6
2019.y6t	0.6
2019.pgf	0.6
2019.nj9	0.6
2019.ifk	0.6
2019.vx4	0.6
2019.mvl	0.6
2019.d6o	0.6
2019.3g4	0.6
2019.z3u	0.6
2019.vwf	0.8
2019.ubi	0.8
2019.dp1	0.8
2019.fxl	0.8
2019.wxu	0.8
2019.rnf	0.8
2019.xwd	0.8
2019.x4x	0.8
2019.4vn	0.8
2019.ci5	0.8
2019.cll	0.8
2019.bpq	0.8
2019.7yo	0.8
2019.kst	0.8
2019.k7p	0.8
2019.op6	0.8
2019.tjc	0.8
2019.ox5	0.8
2019.vbh	0.8
2019.3mc	0.8
2019.0mm	0.8
2019.gua	0.7
2019.sao	0.7
2019.oeb	0.7
2019.evj	0.7
2019.p1m	0.7
2019.xcd	0.7
2019.20w	0.7
2019.a0j	0.7
2019.2fo	0.7
2019.jjl	0.7
2019.s4n	0.7
2019.01z	0.7
2019.otf	0.7
2019.afa	0.7
2019.2g4	0.7
2019.21l	0.7
2019.a6c	0.7
2019.9n4	0.7
2019.crg	0.8
2019.hbv	0.6
2019.x84	0.6
2019.oe6	0.6
2019.46o	0.6
2019.n2u	0.6
2019.8nb	0.6
2019.gnd	0.6
2019.8y5	0.6
2019.m2x	0.6
2019.i4b	0.6
2019.mn5	0.6
2019.02o	0.6
2019.it4	0.6
2019.3qk	0.6
2019.yna	0.6
2019.nn8	0.6
2019.kgd	0.6
2019.h0j	0.6
2019.3v1	0.8
2019.8ub	0.8
2019.qxn	0.8
2019.cm4	0.8
2019.fym	0.8
2019.bfl	0.8
2019.g77	0.8
2019.kos	0.8
2019.l68	0.8
2019.l1c	0.8
2019.9sc	0.8
