	Rn	Rp	Rtotal	Tc_average	Tc_cooling	Tc_warming	bias_freq	physical_name
0135.1.3.4012	1.0119436340272272	0.15452440315404947	1.1664680371812766	0.4424862004421728	0.43392647137693885	0.4510459295074067	4012832.6462581754	253.220.x
0135.1.3.4082	0.9349532073381741	0.13935242729317027	1.0743056346313444	0.44274121837337455	0.4341807402610887	0.4513016964856603	4081573.490984738	252.220.x
0135.1.3.4148	0.9794620636662383	0.1307806652246497	1.110242728890888	0.44234543179903074	0.4337978289297233	0.45089303466833824	4147872.9294613004	252.220.y
0135.1.3.4510	1.4065310573285839	0.16290970426955304	1.569440761598137	0.43730707263995805	0.42856874103470055	0.44604540424521555	4509506.23024255	172.220.y
0135.1.3.4582	0.938308585674179	0.10305730389579063	1.0413658895699696	0.4392886213574801	0.430636927578087	0.44794031513687316	4582061.772234738	172.220.x
0135.1.3.4746	1.2803757695418274	0.09953341100183247	1.3799091805436599	0.4395057023994125	0.4308219024054433	0.4481895023933817	4745941.166765988	230.220.y
0135.1.3.4828	3.9146560780278286	0.807797679255146	4.722453757282975	0.4432188308180426	0.434690509092313	0.4517471525437721	4828796.391375363	263.220.y
0135.1.3.4912	1.4475118615509524	0.13016875882626344	1.5776806203772158	0.4409235105051192	0.4322696813602853	0.44957733964995306	4912719.731219113	263.220.x
0135.1.3.5084	1.568569935435811	0.152792379886292	1.721362315322103	0.43957929459746503	0.43096346256533735	0.44819512662959266	5083465.580828488	229.220.y
0135.1.3.5164	1.744053087069736	0.1337252433778841	1.87777833044762	0.4398531756699875	0.431192180831772	0.44851417050820297	5163497.9294613	202.220.y
0135.1.4.1688	1.1962966754534283	0.2787357636006503	1.4750324390540785	0.4363831074896065	0.42771245489206144	0.44505376008715164	1688842.7780941129	219.90.y
0135.1.4.1708	1.4628923224010932	0.4652086960251458	1.928101018426239	0.43761307617604167	0.42890837382845604	0.4463177785236273	1707839.9704769254	219.90.x
0135.1.4.1742	1.3662857739617662	0.3439723203114309	1.710258094273197	0.437166681750038	0.4285047614012285	0.44582860209884745	1742935.1853206754	205.90.x
0135.1.4.1762	1.5861747881253851	0.3346945505399387	1.9208693386653237	0.43456580053522464	0.42580033966404685	0.4433312614064025	1761627.2019222379	205.90.y
